Designator,Mid X,Mid Y,Layer,Rotation
J1,138.0000mm,-64.0000mm,Bottom,0.00
J2,138.0000mm,-101.0000mm,Bottom,0.00
J3,116.5000mm,-64.0000mm,Bottom,0.00
R2,148.1000mm,-83.0000mm,Bottom,180.00
C1,122.5000mm,-72.5000mm,Top,90.00
C2,122.5000mm,-74.5000mm,Top,90.00
C3,122.5000mm,-76.5000mm,Top,90.00
C4,122.5000mm,-78.5000mm,Top,90.00
C5,121.5000mm,-81.5000mm,Top,90.00
C6,122.5000mm,-83.5000mm,Top,90.00
C7,122.5000mm,-85.5000mm,Top,90.00
C8,133.5000mm,-67.5000mm,Top,0.00
C9,136.0000mm,-67.5000mm,Top,0.00
C10,138.5000mm,-67.5000mm,Top,0.00
C11,141.0000mm,-67.5000mm,Top,0.00
C12,120.5000mm,-72.5000mm,Top,90.00
C13,120.5000mm,-74.5000mm,Top,90.00
C14,120.5000mm,-76.5000mm,Top,90.00
C15,120.5000mm,-78.5000mm,Top,90.00
C16,119.5500mm,-81.5250mm,Top,90.00
C17,120.5000mm,-83.5000mm,Top,90.00
C18,120.5000mm,-85.5000mm,Top,90.00
C19,133.5000mm,-69.4000mm,Top,0.00
C20,136.0000mm,-69.4000mm,Top,0.00
C21,138.5000mm,-69.4000mm,Top,0.00
C22,141.0000mm,-69.4000mm,Top,0.00
C23,114.5000mm,-87.0000mm,Top,90.00
C24,114.5000mm,-82.0000mm,Top,90.00
C26,122.5000mm,-88.0000mm,Top,90.00
C27,120.5000mm,-88.0000mm,Top,90.00
C28,144.0000mm,-67.5000mm,Top,0.00
C29,103.5000mm,-82.0000mm,Top,90.00
C30,111.0000mm,-82.0000mm,Top,90.00
C31,103.5000mm,-73.0000mm,Top,90.00
C32,117.5000mm,-72.2000mm,Top,90.00
C33,117.5000mm,-76.4000mm,Top,90.00
C34,103.5000mm,-87.0000mm,Top,90.00
C35,111.0000mm,-87.0000mm,Top,90.00
C36,123.0000mm,-67.5000mm,Top,0.00
C37,131.0000mm,-67.5000mm,Top,0.00
C38,108.5000mm,-92.0000mm,Top,90.00
C39,113.5000mm,-92.0000mm,Top,90.00
C40,108.5000mm,-96.5000mm,Top,90.00
C41,116.0000mm,-96.5000mm,Top,90.00
L1,112.2750mm,-76.1500mm,Top,180.00
R1,148.0750mm,-77.5000mm,Top,90.00
R3,123.7500mm,-81.0000mm,Top,90.00
R4,123.7500mm,-78.7000mm,Top,90.00
R5,131.4000mm,-69.7000mm,Top,0.00
R6,128.9000mm,-69.7000mm,Top,0.00
R7,123.7500mm,-76.4000mm,Top,90.00
R8,105.0000mm,-77.5000mm,Top,90.00
R9,107.5000mm,-77.5000mm,Top,90.00
R10,119.0000mm,-101.0000mm,Top,0.00
R11,122.0000mm,-101.0000mm,Top,0.00
R12,123.7500mm,-83.3000mm,Top,90.00
R13,123.7500mm,-85.6000mm,Top,90.00
R14,148.1000mm,-80.7000mm,Top,90.00
R15,111.0000mm,-92.0000mm,Top,90.00
R16,111.0000mm,-96.5000mm,Top,90.00
R17,113.5000mm,-96.5000mm,Top,90.00
U1,136.0000mm,-82.0000mm,Top,0.00
U2,107.0000mm,-82.0000mm,Top,0.00
U3,107.0000mm,-73.0000mm,Top,0.00
U4,107.0000mm,-87.0000mm,Top,0.00
U5,127.0000mm,-67.5000mm,Top,0.00
U6,105.0000mm,-92.0000mm,Top,0.00
U7,105.0000mm,-96.5000mm,Top,0.00
