Comment,Designator,Footprint,Qty,MPN,LCSC Part #
1u,"C1,C2,C3,C4,C5,C6,C7",C_0402_1005Metric,7,CL05A105KA5NQNC,C52923
100n,"C8,C9,C10,C11,C26,C27,C28,C38,C40",C_0402_1005Metric,9,CL05B104KO5NNNC,C1525
10n,"C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C39",C_0402_1005Metric,12,CL05B103KB5NNNC,C15195
10u,"C23,C24,C31,C32,C33",C_0805_2012Metric,5,CL21A106KAYNNNE,C15850
1u,"C29,C30,C34,C35,C36,C37",C_0603_1608Metric,6,CL10A105KB8NNNC,C15849
220n,C41,C_0402_1005Metric,1,CL05B224KO5NNNC,C16772
DF40C-80DP (Bank A),J1,Hirose_DF40C-80DP-0.4V_2x40-1MP_P0.4mm,1,DF40C-80DP-0.4V(51),C294544
DF40C-80DP (Bank B),J2,Hirose_DF40C-80DP-0.4V_2x40-1MP_P0.4mm,1,DF40C-80DP-0.4V(51),C294544
DF40C-50DP (Control),J3,Hirose_DF40C-50DP-0.4V_2x25-1MP_P0.4mm,1,DF40C-50DP-0.4V(51),C424645
2.2uH,L1,L_Power_4x4mm_SMNR4020,1,SMNR4020-2.2UH,C135262
47k,R1,R_0402_1005Metric,1,0402WGF4702TCE,C25792
100R,R2,R_0402_1005Metric,1,0402WGF1000TCE,C25076
10k,"R3,R4,R5,R6,R7,R12,R13,R14",R_0402_1005Metric,8,0402WGF1002TCE,C25744
330k,R8,R_0402_1005Metric,1,0402WGF3303TCE,C25778
51k,R9,R_0402_1005Metric,1,0402WGF5102TCE,C25794
1k,"R10,R11,R17",R_0402_1005Metric,3,0402WGF1001TCE,C11702
100k,"R15,R16",R_0402_1005Metric,2,0402WGF1003TCE,C25741
TPS7A2018PDBVR,U2,SOT-23-5,1,TPS7A2018PDBVR,C963430
TPS61023DRLR,U3,SOT-563,1,TPS61023DRLR,C919459
TPS7A2033PDBVR,"U4,U5",SOT-23-5,2,TPS7A2033PDBVR,C2862740
TLV803SDBZT,"U6,U7",SOT-23,2,TLV803SDBZT,C702125
NOIP1SN1300A-QDI,U1,Andon_680-48-SM-G10-R14,1,680-48-SM-G10-R14,
